time,delta_generator-1-1,omega_generator-1-1,delta_generator-2-1,omega_generator-2-1,delta_generator-3-1,omega_generator-3-1,delta_generator-6-1,omega_generator-6-1,delta_generator-8-1,omega_generator-8-1
3.7,0.16836457620210485,0.9997988308625436,0.19585855789978956,1.0000569082581816,0.03719736535564749,1.0000179795243438,0.13643966179812034,1.0000534139867694,0.02084862958320322,0.9999445337438525
3.71,0.16836457620210485,0.9997971159543446,0.19683798594584012,1.0000583816583908,0.03801478091426171,1.0000114121471404,0.13740422534307595,1.0000539951814185,0.021391858363156553,0.9999394609525061
3.72,0.16836457620210485,0.9997967403568809,0.19782659738525865,1.0000596898501501,0.038811662904199094,1.0000050035120238,0.13837466841461032,1.0000544424552709,0.021920874656198346,0.9999349053683685
3.73,0.16836457620210485,0.9997976872183539,0.19881869703312327,1.0000608052905562,0.03958364014173396,0.9999987769180617,0.139345407953964,1.0000547254100811,0.022432590542202466,0.9999308565161049
3.74,0.16836457620210485,0.9997999313491117,0.19980856729659405,1.000061701760452,0.040326516439826814,0.9999927542642849,0.14031082765384106,1.0000548151671131,0.022923957345407246,0.9999273020470663
3.75,0.16836457620210485,0.9998034399228027,0.20079051494971328,1.0000623553911343,0.041036266264563616,0.9999869574924379,0.14126532764348723,1.0000546854166654,0.023391987613937782,0.9999242295337079
3.76,0.16836457620210485,0.9998081710210044,0.20175889866449237,1.0000627450032613,0.041709087366578634,0.9999814083447155,0.14220335102157697,1.000054312833504,0.02383378607215992,0.9999216266013293
3.77,0.16836457620210485,0.9998140747312755,0.20270816915756862,1.000062850915979,0.04234143114524004,0.9999761268911911,0.143119424739681,1.0000536757442633,0.024246581804122667,0.9999194805911901
3.78,0.16836457620210485,0.9998210949175682,0.20363290123954084,1.0000626535207906,0.04293001940463452,0.999971129690309,0.14400819297122885,1.0000527529514185,0.024627754284392255,0.9999177781889043
3.79,0.16836457620210485,0.9998291707516271,0.20452781674923404,1.0000621332256907,0.04347184891713317,0.9999664283786313,0.14486444194079867,1.000051523844965,0.024974852340006952,0.9999165053782367
3.8,0.16836457620210485,0.9998382376842845,0.2053878046385153,1.0000612722215076,0.04396418734123205,0.9999620289559038,0.14568312123742747,1.000049969725389,0.02528560825050303,0.9999156477124916
3.81,0.16836457620210485,0.9998482278634309,0.20620794529738296,1.0000600570378115,0.044404565396967445,0.9999579319805875,0.14645936769207513,1.0000480758016124,0.02555795026716097,0.9999151908433236
3.82,0.16836457620210485,0.9998590702826028,0.20698353428208421,1.000058480462576,0.04479076376358831,0.9999541344825298,0.14718852770803495,1.0000458330095572,0.02579000928007641,0.999915121178388
3.83,0.16836457620210485,0.9998706907068396,0.2077101205595572,1.0000565426796115,0.04512081831316999,0.9999506325445552,0.1478661943434714,1.0000432395917334,0.02598013618355377,0.9999154265492649
